Date,Open,High,Low,Close,Volume,Adj Close,Wildfire,Hurricane,Flood,Blizzard,Snowstorm,Tornado,Covid,Season,Inflation Rate
2015-12-02,17883.14063,17901.58008,17708.19922,17729.67969,102860000,17729.67969,No,No,No,No,No,No,No,Winter,0.7
2015-12-01,17719.7207,17895.5,17719.7207,17888.34961,103880000,17888.34961,No,No,No,No,No,No,No,Winter,0.7
2015-11-30,17802.83984,17837.24023,17719.78906,17719.91992,155560000,17719.91992,No,No,No,No,No,No,No,Fall,0.5
2015-11-27,17806.03906,17830.35938,17749.32031,17813.39063,82540000,17813.39063,No,No,No,No,No,No,No,Fall,0.5
2015-11-25,17820.81055,17854.91992,17801.83008,17813.39063,82540000,17813.39063,No,No,No,No,No,No,No,Fall,0.5
2015-11-24,17770.90039,17862.59961,17683.50977,17812.18945,127170000,17812.18945,No,No,No,No,No,No,No,Fall,0.5
2015-11-23,17823.60938,17868.17969,17751.5293,17792.67969,134680000,17792.67969,No,No,No,No,No,No,No,Fall,0.5
2015-11-20,17732.75,17914.33984,17732.75,17823.81055,153140000,17823.81055,No,No,No,No,No,No,No,Fall,0.5
2015-11-19,17739.83008,17772.9707,17681.98047,17732.75,114630000,17732.75,No,No,No,No,No,No,No,Fall,0.5
2015-11-18,17485.49023,17752.16016,17485.49023,17737.16016,106810000,17737.16016,No,No,No,No,No,No,No,Fall,0.5
2015-11-17,17486.99023,17599.33008,17451.41016,17489.5,167190000,17489.5,No,No,No,No,No,No,No,Fall,0.5
2015-11-16,17229.93945,17483.00977,17210.42969,17483.00977,137590000,17483.00977,No,No,No,No,No,No,No,Fall,0.5
2015-11-13,17439.25,17439.25,17238.89063,17245.24023,134640000,17245.24023,No,No,No,No,No,No,No,Fall,0.5
2015-11-12,17691.92969,17691.92969,17443.5,17448.07031,113660000,17448.07031,No,No,No,No,No,No,No,Fall,0.5
2015-11-11,17769.5,17807.17969,17696.91016,17702.2207,95230000,17702.2207,No,No,No,No,No,No,No,Fall,0.5
2015-11-10,17724.13086,17768.66016,17657.7207,17758.21094,108640000,17758.21094,No,No,No,No,No,No,No,Fall,0.5
2015-11-09,17900.7793,17900.7793,17667.7793,17730.48047,121210000,17730.48047,No,No,No,No,No,No,No,Fall,0.5
2015-11-06,17855.2207,17912.03906,17768.59961,17910.33008,107450000,17910.33008,No,No,No,No,No,No,No,Fall,0.5
2015-11-05,17871.25,17929.50977,17779.18945,17863.42969,98910000,17863.42969,No,No,No,No,No,No,No,Fall,0.5
2015-11-04,17929.58008,17964.11914,17828.83008,17867.58008,99890000,17867.58008,No,No,No,No,No,No,No,Fall,0.5
2015-11-03,17819.74023,17977.84961,17796.01953,17918.15039,92290000,17918.15039,No,No,No,No,No,No,No,Fall,0.5
2015-11-02,17672.61914,17845.90039,17655.01953,17828.75977,100840000,17828.75977,No,No,No,No,No,No,No,Fall,0.5
2015-10-30,17756.59961,17799.96094,17662.86914,17663.53906,149250000,17663.53906,No,No,No,No,No,No,No,Fall,0.2
2015-10-29,17771.5,17786,17684.7207,17755.80078,90300000,17755.80078,No,No,No,No,No,No,No,Fall,0.2
2015-10-28,17586.68945,17779.94922,17556.71094,17779.51953,115630000,17779.51953,No,No,No,No,No,No,No,Fall,0.2
2015-10-27,17608.89063,17635.17969,17540.57031,17581.42969,113960000,17581.42969,No,No,No,No,No,No,No,Fall,0.2
2015-10-26,17649.57031,17660.69922,17602.50977,17623.05078,116660000,17623.05078,No,No,No,No,No,No,No,Fall,0.2
2015-10-23,17525.10938,17679.36914,17525.10938,17646.69922,158090000,17646.69922,No,No,No,No,No,No,No,Fall,0.2
2015-10-22,17180.88086,17505.17969,17180.88086,17489.16016,152420000,17489.16016,No,No,No,No,No,No,No,Fall,0.2
2015-10-21,17225.92969,17314.99023,17153.13086,17168.60938,107100000,17168.60938,No,No,No,No,No,No,No,Fall,0.2
2015-10-20,17228.4707,17264.88086,17147.99023,17217.10938,106670000,17217.10938,No,No,No,No,No,No,No,Fall,0.2
2015-10-19,17209.42969,17235.94922,17129.18945,17230.53906,118430000,17230.53906,No,No,No,No,No,No,No,Fall,0.2
2015-10-16,17141.75,17220.01953,17107.34961,17215.9707,145880000,17215.9707,No,No,No,No,No,No,No,Fall,0.2
2015-10-15,16944.85938,17144.41992,16933.57031,17141.75,122960000,17141.75,No,No,No,No,No,No,No,Fall,0.2
